,highly_variable,means,dispersions,dispersions_norm
Gls,False,4.0960451023860305,5.407368635714426,0.48932996
Nab1,False,4.429383932560175,5.320909712895221,-0.18959494
Gm553,False,0.04191853997685602,4.55561832967471,-1.1367499
Gm28178,False,9.999999999995e-13,,
Tmem194b,False,2.500338755541238,5.248008614846404,-0.21877153
Mfsd6,False,2.6463233207781007,5.300290006397487,0.019628229
Inpp1,False,4.0630333501659335,5.325945260335388,-0.011330393
Hibch,False,3.2245865104990536,5.239271882058608,-0.4763726
1700019D03Rik,False,1.6784619695716285,5.271224690575869,0.02301835
Mstn,False,9.999999999995e-13,,
1700019A02Rik,False,0.06532263843319408,5.011035401217204,-0.06028883
Pms1,False,2.0804295295949027,5.175731412046531,-0.6709052
Gm28777,True,0.13644790484465963,5.783800110651263,1.766281
Ormdl1,False,3.9316765295400162,5.294775926454417,-0.14148742
Gm28778,False,9.999999999995e-13,,
Osgepl1,False,2.3337119291783344,5.2382948815505435,-0.2817341
Gm28551,False,9.999999999995e-13,,
Asnsd1,False,4.52112865860705,5.18331119178155,-0.79196686
Dnah7a,False,9.999999999995e-13,,
Stk17b,False,5.9211346264351565,5.642134701332733,0.19603139
Hecw2,False,0.10945750416849272,4.864617505091912,-0.40637416
Ccdc150,False,0.1115545299041396,5.11422067472845,0.18360832
Gtf3c3,False,2.488112216146823,5.188662649714309,-0.4893853
Pgap1,True,3.19653686498157,5.606806682922352,2.3174365
Ankrd44,False,5.315056410080489,5.497348311373804,0.21080917
4930444A19Rik,False,0.35058281802102503,5.052858693295237,0.03856812
Sf3b1,False,6.015580805449304,5.363379073200814,-0.65286404
Coq10b,False,4.7065601776944535,5.422470075725696,0.25501093
Hspd1,False,5.065911952594674,5.521975333201976,0.2912808
Hspe1,False,5.871278715311924,5.452420501605436,-0.11626401
Mob4,False,4.465665664633423,5.240541970790549,-0.5414248
Rftn2,False,0.85937005361219,5.293720956031547,0.04910091
Gm10561,False,0.08504066824211096,5.284808872724406,0.58682454
Mars2,False,1.4834452624790107,5.253497783425403,-0.0785797
Boll,True,0.4691410044348749,5.44031127260274,0.9543827
Plcl1,False,2.3071974221980023,5.245526410787224,-0.23675095
9130227L01Rik,False,9.999999999995e-13,,
1700003I22Rik,False,9.999999999995e-13,,
Gm28240,False,9.999999999995e-13,,
Hsfy2,False,9.999999999995e-13,,
Satb2,False,9.999999999995e-13,,
1700126A01Rik,False,9.999999999995e-13,,
BC055402,False,9.999999999995e-13,,
4930558J18Rik,False,0.4491303536597534,4.742453430223641,-0.6951311
1700066M21Rik,False,1.4445050065199236,5.124689371239283,-0.5526148
Tyw5,False,2.5488444589106938,5.207977598584318,-0.40131038
9430016H08Rik,False,3.011281700481198,5.159010888407774,-1.0864751
Spats2l,True,0.24173948147549104,5.716735234460545,1.607761
Gm17234,False,9.999999999995e-13,,
Kctd18,False,3.122205011977586,5.353307774842242,0.3904692
Sgol2a,False,2.1737660888179713,5.32522351055905,0.2589985
Aox1,False,9.999999999995e-13,,
Aox3,False,9.999999999995e-13,,
Aox4,False,9.999999999995e-13,,
Gm15759,False,9.999999999995e-13,,
Aox2,False,9.999999999995e-13,,
Bzw1,False,5.442669273996953,5.317121730691685,-0.4940117
Clk1,False,5.61828538784711,5.609156270677432,0.32133475
Ppil3,False,4.088593390864592,5.211042596975576,-0.71784997
Nif3l1,False,2.752344536977625,5.339531443019347,0.19856665
Orc2,False,2.9178038291636725,5.172311521359778,-0.5639454
Gm15834,False,0.29841695211114583,5.319075599068908,0.66782016
Fam126b,True,2.4064229915679283,5.497549861980162,1.3309408
Ndufb3,False,5.03663727892111,5.251684754152574,-0.5919248
Als2cr12,False,0.051048814139313684,4.757272937197622,-0.66010255
Cflar,False,4.496414038329247,5.499046371550178,0.5902428
Casp8,False,4.492347755535067,5.3070328985968915,-0.25034416
Trak2,False,2.3234204978472026,5.245447459291876,-0.23724206
Stradb,False,1.961011818714875,5.3004564876664615,0.19055428
Gm29018,False,9.999999999995e-13,,
Als2cr11,False,9.999999999995e-13,,
Tmem237,False,2.5329101565446113,5.147459286024944,-0.67727
G730003C15Rik,False,0.24360345428014205,5.095772426126802,0.14000253
Mpp4,False,0.02354821967841916,3.969705069743688,-2.5216625
Gm29017,True,0.09910157631866329,5.444962950643183,0.9653778
Als2,False,1.4692018983177237,5.35001171850644,0.27098474
Cdk15,False,9.999999999995e-13,,
Gm29016,False,9.999999999995e-13,,
Fzd7,False,0.08831507090750854,5.324250902138982,0.68005294
Gm26813,False,9.999999999995e-13,,
Gm973,False,9.999999999995e-13,,
Gm28411,False,9.999999999995e-13,,
1700122D07Rik,False,9.999999999995e-13,,
Sumo1,False,5.9096653886953625,5.202503146540718,-1.1427801
Nop58,True,4.274098252534931,5.5117676062784575,1.1312639
